Book,Decade
Gossip Girl (series) by Cecily von Ziegesar,2000-2009
The Giver by Lois Lowry,2000-2009
In the Night Kitchen by Maurice Sendak,2000-2009
Killing Mr. Griffen by Lois Duncan,2000-2009
Beloved by Toni Morrison,2000-2009
My Brother Sam Is Dead by James Lincoln Collier,2000-2009
Bridge To Terabithia by Katherine Paterson,2000-2009
The Face on the Milk Carton by Caroline B. Cooney,2000-2009
We All Fall Down by Robert Cormier,2000-2009
What My Mother Doesn’t Know by Sonya Sones,2000-2009
"Bless Me, Ultima by Rudolfo Anaya",2000-2009
Snow Falling on Cedars by David Guterson,2000-2009
"The Earth, My Butt, and Other Big, Round Things by Carolyn Mackler",2000-2009
"Angus, Thongs, and Full Frontal Snogging by Louise Rennison",2000-2009
Brave New World by Aldous Huxley,2000-2009
It’s So Amazing by Robie Harris,2000-2009
Arming America by Michael Bellasiles,2000-2009
Kaffir Boy by Mark Mathabane,2000-2009
Life is Funny by E.R. Frank,2000-2009
Whale Talk by Chris Crutcher,2000-2009
The Fighting Ground by Avi,2000-2009
Blubber by Judy Blume,2000-2009
Athletic Shorts by Chris Crutcher,2000-2009
Crazy Lady by Jane Leslie Conly,2000-2009
Slaughterhouse-Five by Kurt Vonnegut,2000-2009
The Adventures of Super Diaper Baby by Dav Pilkey,2000-2009
Rainbow Boys by Alex Sanchez,2000-2009
One Flew Over the Cuckoo’s Nest by Ken Kesey,2000-2009
The Kite Runner by Khaled Hosseini,2000-2009
Daughters of Eve by Lois Duncan,2000-2009
The Great Gilly Hopkins by Katherine Paterson,2000-2009
You Hear Me? by Betsy Franco,2000-2009
The Facts Speak for Themselves by Brock Cole,2000-2009
Summer of My German Soldier by Bette Green,2000-2009
When Dad Killed Mom by Julius Lester,2000-2009
Blood and Chocolate by Annette Curtis Klause,2000-2009
Fat Kid Rules the World by K.L. Going,2000-2009
Olive’s Ocean by Kevin Henkes,2000-2009
Speak by Laurie Halse Anderson,2000-2009
Draw Me A Star by Eric Carle,2000-2009
The Stupids (series) by Harry Allard,2000-2009
The Terrorist by Caroline B. Cooney,2000-2009
Mick Harte Was Here by Barbara Park,2000-2009
The Things They Carried by Tim O’Brien,2000-2009
"Roll of Thunder, Hear My Cry by Mildred Taylor",2000-2009
A Time to Kill by John Grisham,2000-2009
Always Running by Luis Rodriguez,2000-2009
Fahrenheit 451 by Ray Bradbury,2000-2009
Harris and Me by Gary Paulsen,2000-2009
Junie B. Jones (series) by Barbara Park,2000-2009
Song of Solomon by Toni Morrison,2000-2009
What’s Happening to My Body Book by Lynda Madaras,2000-2009
The Lovely Bones by Alice Sebold,2000-2009
Anastasia (series) by Lois Lowry,2000-2009
A Prayer for Owen Meany by John Irving,2000-2009
Crazy by Benjamin Lebert,2000-2009
The Joy of Gay Sex by Dr. Charles Silverstein,2000-2009
The Upstairs Room by Johanna Reiss,2000-2009
A Day No Pigs Would Die by Robert Newton Peck,2000-2009
Black Boy by Richard Wright,2000-2009
Deal With It! by Esther Drill,2000-2009
Detour for Emmy by Marilyn Reynolds,2000-2009
So Far From the Bamboo Grove by Yoko Watkins,2000-2009
Staying Fat for Sarah Byrnes by Chris Crutcher,2000-2009
Cut by Patricia McCormick,2000-2009
Tiger Eyes by Judy Blume,2000-2009
The Handmaid’s Tale by Margaret Atwood,2000-2009
Friday Night Lights by H.G. Bissenger,2000-2009
A Wrinkle in Time by Madeline L’Engle,2000-2009
Julie of the Wolves by Jean Craighead George,2000-2009
The Boy Who Lost His Face by Louis Sachar,2000-2009
Bumps in the Night by Harry Allard,2000-2009
Goosebumps (series) by R.L. Stine,2000-2009
Shade’s Children by Garth Nix,2000-2009
Grendel by John Gardner,2000-2009
The House of the Spirits by Isabel Allende,2000-2009
I Saw Esau by Iona Opte,2000-2009
"Are You There, God? It’s Me, Margaret by Judy Blume",2000-2009
America by E.R. Frank,2000-2009
The Absolutely True Diary of a Part-Time Indian by Sherman Alexie,2010-2019
Captain Underpants (series) by Dav Pilkey,2010-2019
Thirteen Reasons Why by Jay Asher,2010-2019
Looking for Alaska by John Green,2010-2019
George by Alex Gino,2010-2019
And Tango Makes Three by Justin Richardson and Peter Parnell,2010-2019
Drama by Raina Telgemeier,2010-2019
Fifty Shades of Grey by E. L. James,2010-2019
Internet Girls (series) by Lauren Myracle,2010-2019
The Bluest Eye by Toni Morrison,2010-2019
The Kite Runner by Khaled Hosseini,2010-2019
Hunger Games by Suzanne Collins,2010-2019
I Am Jazz by Jazz Jennings and Jessica Herthel,2010-2019
The Perks of Being a Wallflower by Stephen Chbosky,2010-2019
To Kill a Mockingbird by Harper Lee,2010-2019
Bone (series) by Jeff Smith,2010-2019
The Glass Castle by Jeannette Walls,2010-2019
Two Boys Kissing by David Levithan,2010-2019
A Day in the Life of Marlon Bundo by Jill Twiss,2010-2019
Sex is a Funny Word by Cory Silverberg,2010-2019
Alice McKinley (series) by Phyllis Reynolds Naylor,2010-2019
It's Perfectly Normal by Robie H. Harris,2010-2019
Nineteen Minutes by Jodi Picoult,2010-2019
Scary Stories (series) by Alvin Schwartz,2010-2019
Speak by Laurie Halse Anderson,2010-2019
A Brave New World by Aldous Huxley,2010-2019
Beyond Magenta: Transgender Teens Speak Out by Susan Kuklin,2010-2019
Of Mice and Men by John Steinbeck,2010-2019
The Handmaid's Tale by Margaret Atwood,2010-2019
The Hate U Give by Angie Thomas,2010-2019
Fun Home: A Family Tragicomic by Alison Bechdel,2010-2019
It's a Book by Lane Smith,2010-2019
The Adventures of Huckleberry Finn by Mark Twain,2010-2019
The Things They Carried by Tim O'Brien,2010-2019
What My Mother Doesn't Know by Sonya Sones,2010-2019
"A Child Called ""It"" by Dave Pelzer",2010-2019
Bad Kitty (series) by Nick Bruel,2010-2019
Crank by Ellen Hopkins,2010-2019
Nickel and Dimed by Barbara Ehrenreich,2010-2019
Persepolis by Marjane Satrapi,2010-2019
The Adventures of Super Diaper Baby by Dav Pilkey,2010-2019
This Day in June by Gayle E. Pitman,2010-2019
This One Summer by Mariko Tamaki,2010-2019
A Bad Boy Can Be Good For A Girl by Tanya Lee Stone,2010-2019
Beloved by Toni Morrison,2010-2019
Goosebumps (series) by R.L. Stine,2010-2019
In Our Mothers' House by Patricia Polacco,2010-2019
Lush by Natasha Friend,2010-2019
