Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged,clustered_book
"Kerr, M. E.","""Hello,"" I lied : a novel",North East,Texas,yes,,No Challenge Filed,,Removed from shelves for review on basis of Rep Krause letter,,,,,1998,1,,"""Hello,"" I lied : a novel"
"Thomas, Rachel",#blacklivesmatter,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,RETURNED - FL as 5/2022,Temporarily removed while under review,,,,,,,,#blacklivesmatter
"Thomas, Rachel
 L.","#BlackLivesMatter :
 protesting racism",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,2,,"#BlackLivesMatter :
 protesting racism"
"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Tennessee,Collierville Schools,Yes,TWO,no challenge,back on shelves probably,,,,,,,,,"#Hockey (Check, Please! Series)"
"McNeil, Gretchen",#Murder Trending,Savannah-Chatham County Public School SYstem,Georgia,n/a,,Informal Challenge,,,,,,,,,,#Murder Trending
"McNeil, Gretchen",#MurderTrending,Goddard,Kansas,yes,"removed while under review - against published policy after pushback, returned to shelves while policies under review",Informal Challenge,Challenged - Prob on Shelves,11/21 - Returneed to shelves while reviewing book challenge policies,,,,,,,,#Murder Trending
"Mac, Carrie",10 Things I Can See from Here,Tennessee,Collierville Schools,Yes,TWO,no challenge,back on shelves probably,,,,,,,,,10 Things I Can See from Here
"Mac, Carrie",10 Things I Can See from Here,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,10 Things I Can See from Here
"Mac, Carrie",10 Things I Can See from Here,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,3,,10 Things I Can See from Here
"Ewert, Marcus","10,000 Dresses",Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,"10,000 Dresses"
"Henderson, Elizabeth",100 Questions You Would Never Ask Your Parents,Cypress-Fairbanks,Texas,n/a,1/2022,No Challenge Filed,Retained,Krause List,,,,,,,,100 Questions You Would Never Ask Your Parents
"Henderson, Elisabeth","100 Questions You'd Never Ask Your Parents: Straight Answers to a Teens' Questions About Sex, Sexuality, and Health",Klein ISD,Texas,yes,,Informal Challenge,removed while under investigation.,,,,,,,,,100 Questions You Would Never Ask Your Parents
"Brynie, Faith
 Hickman","101 questions about
 reproduction : or how 1 + 1
 = 3 or 4 or more--",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2006,2,,"101 questions about
 reproduction : or how 1 + 1
 = 3 or 4 or more--"
"Brynie, Faith
 Hickman","101 questions about sex
 and sexuality-- : with
 answers for the curious,
 cautious, and confused",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2003,1,,"101 Questions About Sex & Sexuality: with answer for the curious, cautious, and confused"
"Brynie, Faith Hickman ","101 Questions About Sex & Sexuality: with answer for the curious, cautious, and confused",Cypress-Fairbanks,Texas,n/a,1/2022,No Challenge Filed,Retained,Krause List,,,,,,,,"101 Questions About Sex & Sexuality: with answer for the curious, cautious, and confused"
"Asher, Jay",13 Reasons Why,Bixby Public Schools,Oklahoma,n/a,After community challenge Bixby Public Schools willkeep pair of books in library,Formal Challenge Filed,Retained,,,,,,,,,13 Reasons Why
"Asher, Jay",13 Reasons Why,Frisco ISD,Texas,,12/21,Informal Challenge,Challenged - Prob on Shelves,Unclear,,Middle School,,,,,,13 Reasons Why
"Asher, Jay",13 Reasons Why,North Smithfield School District,Rhode Island,n/a,Superintendent already examining book policies - particularly acquisition,Informal Challenge,,,,,,,,,,13 Reasons Why
"Deedy, Carmen Agra",14 Cows for America,Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,14 Cows for America
"Levithan, David",19 Love Songs,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,19 Love Songs
"Levithan, David",19 Love Songs,Prosper ISD,Texas,,,yes,Challenged - Prob. on shelvesa,Complaint Filed - status unclear,,,,,,2,,19 Love Songs
"Picoult, Jodi",19 Minutes,Fox C-6 School District,Missouri,n/a,,Formal Challenge Filed,No books have been removed but they are considering restrictions,,,,,,,,,19 Minutes
"Picoult, Jodi",19 Minutes,North Smithfield School District,Rhode Island,n/a,Superintendent already examining book policies - particularly acquisition,Informal Challenge,,,,,,,,,,19 Minutes
"Bradley, Alex",24 Girls in 7 Days,Frisco ISD,Texas,n/a,12/21,Formal Challenge Filed,WEEDED,parent continued the complaint process even though it was WEEDED,,Middle School,,,,,,24 Girls in 7 Days
"Lassieur, Allison",25 Women Who Dared to Go,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,25 Women Who Dared to Go
"Sherman, Jill",25 Women Who Fought Back,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,25 Women Who Fought Back
"Stanborough, Rebecca J",25 Women Who Rules,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,25 Women Who Rules
"Sherman, Jill",25 Women Who Thought of It First,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,25 Women Who Thought of It First
"Rapp, Adam",33 Snowfish,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,,33 Snowfish
"Rapp, Adam",33 Snowfish,Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,,33 Snowfish
"Rapp, Adam",33 Snowfish,Spotslyvania County,Virginia,yes,unconstitutional order to remove book,unclear,temporary removed,,,,,,,,,33 Snowfish
"Rapp, Adam",33 Snowfish,Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,,33 Snowfish
"Adeyoha, Koja and Angel","47,000 Beads",Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,"47,000 Beads"
"James, EL",50 Shades of Gray,Walton County School District,Florida,yes,,No Challenge Filed,REMOVED BY ADMINISTRATION,,,,,,,,,50 Shades of Gray
San Francisco Writers Grotto,642 Things to Write About,Hudson,OH,yes,was part of the Hudson High School senior College Credit Plus writing class,Unknown,Removed from curriculum,,,,,,,,,642 Things to Write About
"Trueman, Terry",7 Days at the Hot Corner,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,,7 Days at the Hot Corner
"Trueman, Terry",7 Days at the Hot Corner,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2007,,,7 Days at the Hot Corner
"Trueman, Terry",7 Days at the Hot Corner,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2007,5,,7 Days at the Hot Corner
"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,Collier County Public Schools,Florida,TBD,FLCA,No Challenge Filed,Parental Advisory label added in Feb 2022,January 2022,,,,,,,,A Bad Boy Can Be Good For A Girl
"Stone, Tanya Lee",A Bad Boy Can Be Good For A Girl,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,RETURNED - FL as 5/2022,Temporarily removed while under review,,,,,,,,A Bad Boy Can Be Good For A Girl
"Devore, Laurie",A Better Bad Idea,Tennessee,Collierville Schools,Yes,TWO,no challenge,back on shelves probably,,,,,,,,,A Better Bad Idea
"Lin, Grace",A Big Mooncake for Little Star,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,A Big Mooncake for Little Star
"Boelts, Maribeth",A Bike Like Sergio's,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,A Bike Like Sergio's
"Boelts, Maribeth",A Bike Like Sergios,Fauquier County Public Schools,Virgina,n/a,,Informal Challenge,probably on shelves,,,,,,,,,A Bike Like Sergio's
"Arnold, Elana K.",A Boy Called Bat,Fauquier County Public Schools,Virgina,n/a,,Informal Challenge,probably on shelves,,,,,,,,,A Boy Called Bat
"Arnold, Elana K.",A Boy Called Bat,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,A Boy Called Bat
"Arnold, Elana K.",A Boy Called Bat,Central York,Pennslyvania,,and MANY more,,,,,,,,,,,A Boy Called Bat
"Crichton, Michael",A case of need,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,A case of need
"Whitcomb, Laura",A Certain Slant of Light,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,Restricted,Temporarily removed while under review,HIgh School Only,,,,,,,A Certain Slant of Light
"Hutchinson, Shaun David",A Complicated Love Story Set in Space,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,A Complicated Love Story Set in Space
"Hutchinson, Shaun David",A Complicated Love Story Set in Space,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,A Complicated Love Story Set in Space
"Maas, Sarah J.",A Court of Frost and Starlight,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,,A Court of Frost and Starlight
"Maas, Sarah J",A Court of Frost and Starlight,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,,A Court of Frost and Starlight
"Maas, Sarah J.",A Court of Frost and Starlight,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,RETAINED - Restricted,,High School Only Removed Middle School,,,,,,,A Court of Frost and Starlight
"Maas, Sarah J.",A Court of Frost and Starlight,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Restricted Permanently,Remain in high school library - flagged for 16+ content,High School Only; Flagged 16+,,,,,,,A Court of Frost and Starlight
"Maas, Sarah J.",A Court of Mist and Fury,Brevard County Public Schools,Florida,yes,Brevard Cty M4L Site Stating They Are On Quarentine,End run around challenge process,Removed 3/13 schools removed ebook,,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Fauquier County Public Schools,Virgina,n/a,,Formal Challenge Filed,probably on shelves,,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Wilson County School Board,Tennessee,,,Formal Challenge Filed,Retained HS but must have parent permission to check out; Not available MS and should not be considered for MS,,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Nampa School District,Idaho,yes,Committee said this wasn't on shelves - it had already been pulled by librarians.,Informal Challenge,banned,,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Bentonville,Arkansas,n/a,,Informal Challenge (eg Board Meeting Public Comments),Challenge in board meeting,February 2022,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Katy,Texas,yes,1/2022,Internal Review,Banned,,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Coweta County School District,Georgia,,,no,n/a,Complaint during public comment,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Jackson County School Board,Florida,yes,,No Challenge Filed,Removed,per order of Superintendent after receiving FCA mailing,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Walton County School District,Florida,yes,,No Challenge Filed,REMOVED BY ADMINISTRATION,,,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,Restricted,,HIgh School Only,,,,,,,A Court of Mist and Fury
"Maas, Sarah J.",A Court of Mist and Fury,Keller,Texas,yes,"New addition to challenge website: ""Book Challenge committee decisions to keep books in a library do not authorize future purchases of the book(s)",yes,weeded,This title has been deselected according to our collection development processes and is no longer in any classroom or school libraries,,Challenge originated: Parent,yes,,,,11/4/21,A Court of Mist and Fury
"Maas, Sarah J.",A Court of of Wings and Ruin,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,,A Court of of Wings and Ruin
"Maas, Sarah J.",A Court of of Wings and Ruin,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,,A Court of of Wings and Ruin
"Maas, Sarah J.",A Court of of Wings and Ruin,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,,A Court of of Wings and Ruin
"Maas, Sarah J.",A Court of Silver Flames,Brevard County Public Schools,Florida,yes,List 3,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,,A Court of Silver Flames
"Maas, Sarah J.",A Court of Silver Flames,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,,A Court of Silver Flames
"Maas, Sarah J.",A Court of Silver Flames,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,,A Court of Silver Flames
"Maas, Sarah J.",A Court of Silver Flames,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,,A Court of Silver Flames
"Maas, Sarah J.",A Court of Silver Flames,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,,A Court of Silver Flames
"Maas, Sarah J.",A Court of Silver Flames,Carmel  Clay Schools,Indiana,yes,,unknown,Removed from Library,,,,,,,,,A Court of Silver Flames
"Maas, Sarah J.",A Court of Thorn and Roses,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,,A Court of Thorns and Roses
"Maas, Sarah J.",A Court of Thorn and Roses,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,,A Court of Thorns and Roses
"Maas, Sarah J.",A Court of Thorns and Roses,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,,A Court of Thorns and Roses
"Maas, Sarah J.",A Court of Thorns and Roses,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,,A Court of Thorns and Roses
"Maas, Sarah J.",A Court of Thorns and Roses,Fauquier County Public Schools,Virgina,n/a,,Informal Challenge,probably on shelves,,,,,,,,,A Court of Thorns and Roses
"Maas, Sarah J.",A Court of Thorns and Roses,Katy,Texas,yes,10/2021,Internal Review,REstricted to High School,,Restricted to High School Only,,,,,,,A Court of Thorns and Roses
"Maas, Sarah J.",A Court of Thorns and Roses,Keller,Texas,yes,"New addition to challenge website: ""Book Challenge committee decisions to keep books in a library do not authorize future purchases of the book(s)",yes,pending,,,,,,,,4/4/22,A Court of Thorns and Roses
"Pinguicha, Diana",A Curse of Roses,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,A Curse of Roses
"Twiss, Jill",A Day in the Life of Marlon Brando,Walton County School District,Florida,yes,,No Challenge Filed,REMOVED BY ADMINISTRATION,,,,,,,,,A Day in the Life of Marlon Brando
"Asano, Inio",A Girl on the Shore,Hudson,OH,yes,,Formal Challenge Filed,Full Ban,Removed - pervasive vulgarity and sexuality,,,,,,,,A Girl on the Shore
"Ramee, Lisa Moore",A Good Kind of Trouble,Eanes,Texas,no,Elementary,Formal Challenge Filed,Retained,,,,,,,,,A Good Kind of Trouble
"Ramee, Lisa Moore",A Good Kind of Trouble,Eanes,Texas,no,Middle School,Formal Challenge Filed,Retained,,,,,,,,,A Good Kind of Trouble
"Ramee, Lisa Moore",A Good Kind of Trouble,Henrico County Public Schools,Virginia,,,Formal Challenge Filed,Challenge dropped after a newspaper article appeared about the challenge,"Parent was afraid of ""indoctrination"" and ""Marxist"" ideology",,,,,,,,A Good Kind of Trouble
"Ramee, Lisa Moore",A Good Kind of Trouble,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,"Hillcrest Jr, Riverview",,,,,,A Good Kind of Trouble
"Ramee, Lisa Moore",A Good Kind of Trouble,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Riverview and Hillcrest,,,,,,A Good Kind of Trouble
"Ramee, Lisa Moore",A Good Kind of Trouble,Carroll Independent School District,Texas,yes,Teachers Pulled After SD rules,no,Restricted Permanently,,"Based on new guidance from district, teachers had to clean out their classroom libraries",,,,,,,A Good Kind of Trouble
"Ramee, Lisa Moore",A Good Kind of Trouble,New Hanover County Schools,North Carolina,n/a,,No Challenge Filed,police report only,,,,,,,,,A Good Kind of Trouble
"Ramee, Lisa Moore",A Good Kind of Trouble,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS / HS,,A Good Kind of Trouble
"Craig, Joe",A Guy’s Guide to Sexuality and Sexual Identity in the 21st Century,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,,A Guy’s Guide to Sexuality and Sexual Identity in the 21st Century
"Craig, Joe",A Guy’s Guide to Sexuality and Sexual Identity in the 21st Century,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2012,1,,A Guy’s Guide to Sexuality and Sexual Identity in the 21st Century
"Bildner, Phil",A high five for Glenn Burke,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,,A high five for Glenn Burke
"Connor, Leslie","A home for goddesses and
 dogs",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,6,,"A home for goddesses and
 dogs"
"Connor, Leslie",A home for goddesses and dogs,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS / HS,,"A home for goddesses and
 dogs"
"Nagara, Innosanto",A is for Activist,Pinellas School District,Florida,,2022-23 school year,"Reviewed in ""normal"" process",recommended for professional collection - Prevention office,,,,,,,,,A is for Activist
"Memory, Jelani",A Kids Book About Racism,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,A Kids Book About Racism
"Gaines, Ernest",A Lesson Before Dying,Virginia Beach,Virginia,,Contains sexually explicit language,yes - grom board member,Temporary Ban,,,,,,,,,A Lesson Before Dying
"Lee, Victoria",A Lesson in Vengeance,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,A Lesson in Vengeance
"Lo, Malinda",A line in the dark,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,A line in the dark
"Lo, Malinda",A line in the dark,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,3,,A line in the dark
"Park, Linda Sue",A Long Walk To Water,Cypress-Fairbanks,Texas,n/a,2/2022,No Challenge Filed,Retained,,,,,,,,,A Long Walk To Water
"Horner, Emily",A Love Story Staring My Dead Best Friend,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,,A Love Story Staring My Dead Best Friend
"Horner, Emily",A Love Story Staring My Dead Best Friend,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,,A Love Story Staring My Dead Best Friend
"Horner, Emily",A Love Story Staring My Dead Best Friend,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2010,,,A Love Story Staring My Dead Best Friend
"Horner, Emily",A Love Story Staring My Dead Best Friend,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2010,2,,A Love Story Staring My Dead Best Friend
"Duran, Rye",A Perfect Blank,Tennessee,Collierville Schools,Yes,TWO,no challenge,back on shelves probably,,,,,,,,,A Perfect Blank
"Caldwill, Patrice",A Phoenix Must Burn,Collier County Public Schools,Florida,TBD,FLCA,No Challenge Filed,Parental Advisory label added in Feb 2022,January 2022,,,,,,,,A Phoenix Must Burn
"Faruqi, Saadia and Laura Shovan",A Place at the Table,Wilkes County School District,North Carolina,yes,"Contested for EL BOB - and as a result, elementary BOB was dropped",Unknown,,,,,,,,,,A Place at the Table
"Elliott, Zetta",A Place Inside of Me: A Poem to Heal The Heart,Hanover County Public Schools,Virginia,n/a,,yes,RETAINED June 2022,challenged and resolved at school level in Fall 2021 22 challenge is to change reconsideration policy,,,,,,,,A Place Inside of Me: A Poem to Heal The Heart
,A Queer History of the United States for Young People,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,HILLCREST JR,,,,,,A Queer History of the United States for Young People
"G, Mady and Jules Zuckerberg",A Quick & Easy Guide to Queer & Trans Identities,Canaan Schools,Vermont,n/a,,Formal Challenge Filed,Retained - High School Library Where iT Was,,,,,,,,,A Quick & Easy Guide to Queer & Trans Identities
"G, Mady and Jules Zuckerberg",A Quick & Easy Guide to Queer & Trans Identities,Tennessee,Collierville Schools,Yes,FIVE,no challenge,removed,,,,,,,,,A Quick & Easy Guide to Queer & Trans Identities
"G, Mady and Jules Zuckerberg",A Quick & Easy Guide to Queer & Trans Identities,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,RETURNED - FL as 5/2022,Temporarily removed while under review,,,,,,,,A Quick & Easy Guide to Queer & Trans Identities
"Bongiovanni, Archie",A Quick & Easy Guide to They/Them Pronouns,Tennessee,Collierville Schools,Yes,FIVE,,,,,,,,,,,A Quick & Easy Guide to They/Them Pronouns
"Gulliani, Maddie",A Quick and Easy Guide to Queer Identitites,Fauquier County Public Schools,Virgina,n/a,,Informal Challenge,probably on shelves,,,,,,,,,A Quick and Easy Guide to Queer Identitites
"Hansberry, Lorraine",A Raisin in the Sun,Edmond Public Schools,Oklahoma,yes,related to CRT education bill,no,Restricted from being taught in english classes,Unclear - seems like the school responded strongly in defense of cvurriculum and books.,,,,,,,,A Raisin in the Sun
"Reichardt, Marisa",A Shot at Normal,Penncrest School District,Pennsylvania,,"was part of a resource list - Superintendent is HOLDING on having a board vote to make sure all the books were picked via the appropriate fashion, etc.",No Challenge Filed,Superintendnet paused purchause,,,,,,,,,A Shot at Normal
"Jonsbberg, Barry",A Song only I can hear,Fauquier County Public Schools,Virgina,n/a,,Informal Challenge,probably on shelves,,,,,,,,,A Song only I can hear
"Bryant, Jennifer",A Splash of Red: The Life and Art of Horace Pippen,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,A Splash of Red: The Life and Art of Horace Pippen
"Bryant, Jennifer",A Splash of Red: The Life and Art of Horace Pippin,Fauquier County Public Schools,Virgina,n/a,,Informal Challenge,probably on shelves,,,,,,,,,A Splash of Red: The Life and Art of Horace Pippen
"Ellen, Tom",A Totally Awkward Love Story,Orange County,Florida,n/a,parent preparing challenge,Informal Challenge,unknown,Parent preparing challenge,,,,,,,,A Totally Awkward Love Story
"Self, Jeffery","A very, very bad thing",McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,"A very, very bad thing"
"Self, Jeffery","A very, very bad thing",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,3,,"A very, very bad thing"
,A Young People's History of the United States,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,,A Young People's History of the United States
"Torr, James D",Abortion,Klein ISD,Texas,,,No Challenge Filed,Removed,,,,,,,,,Abortion
"Juettner, Bonnie",Abortion,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2007,1,,Abortion
"Rose, Melody","Abortion : a documentary
 and reference guide",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2008,1,,"Abortion : a documentary
 and reference guide"
"Hand, Carol",Abortion : interpreting the constitution,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,Abortion : interpreting the constitution
James D. Torr,Abortion : opposing viewpoints,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,,Abortion : opposing viewpoints
Tamara L. Roleff,Abortion : opposing viewpoints,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,,Abortion : opposing viewpoints
"Gay, Kathlyn",Abortion : understanding the debate,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,Abortion : understanding the debate
"Lecesne, James",Absolute brightness,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,Absolute brightness
"Lecesne, James",Absolute brightness,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,1,,Absolute brightness
"Alexie, Sherman",Absolutely True Diary of a Part-Time Indian,Madison County Schools,Mississippi,yes,,Informal Challenge,In Restriction While Under Reviuew,Requires parent permission,RESTRICT WITH PERMISSION HS (7/2022),,,,,,,Absolutely True Diary of a Part-Time Indian
"Dorros, Arthur",Abuela,Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,Abuela
"Abike-Iyimide, Faridah",Ace of Spades,Fauquier County Public Schools,Virgina,n/a,,Informal Challenge,probably on shelves,,,,,,,,,Ace of Spades
"Àbíké-Íyímídé, Faridah",Ace of Spades,Collier County Public Schools,Florida,TBD,FLCA,No Challenge Filed,Parental Advisory label added in Feb 2022,January 2022,,,,,,,,Ace of Spades
"Àbíké-Íyímídé, Faridah",Ace of Spades,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,RETURNED - FL as 5/2022,Temporarily removed while under review,,,,,,,,Ace of Spades
"McSmith, Tobly",Act Cool,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,Act Cool
