Author,Secondary Author(s),Illustrators,Translators,Book,clustered_book,School District,Missouri,IN P DOC,Date,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mitchell, Saundra",,,,All the Things We Do in the Dark,All the Things We Do in the Dark,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",,,,The Bluest Eye,The Bluest Eye,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murphy, Julie",,,,Ramona Blue,Ramona Blue,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",,,,Shine,Shine,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",,,,The Infinite Moment of Us,The Infinite Moment of Us,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",,,,yolo (Internet Girls Series),yolo (Internet Girls Series),Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nabokov, Vladimir",,,,Lolita,Lolita,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nelson, Jandy",,,,I'll Give You the Sun,I'll Give You the Sun,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niven, Jennifer",,,,Breathless,Breathless,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pérez, Ashley Hope",,,,Out of Darkness,Out of Darkness,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peters, Julie Anne",,,,grl2grl,grl2grl,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Picoult, Jodi",,,,Nineteen Minutes,Nineteen Minutes,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quintero, Isabel",,,,"Gabi, a Girl in Pieces","Gabi, a Girl in Pieces",Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rainfield, Cheryl",,,,Scars,Scars,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reed, Amy",,,,Beautiful,Beautiful,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reynolds, Jason",,,,"Stamped (For Kids): Racism, Antiracism, and You",Stamped from the Beginning Series,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",NOT RETURNED TO SHELVES K-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reynolds, Jason",,,,"Stamped: Racism, Antiracism, and You","Stamped: Racism, Anti-Racism, and You",Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",RETURNED TO SHELVES - GRADES 6-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rowell, Rainbow",,,,Eleanor & Park,Eleanor & Park,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sánchez, Erika L.",,,,I Am Not Your Perfect Mexican Daughter,I Am Not Your Perfect Mexican Daughter,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire,,,,Push,Push,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scott, Elizabeth",,,,Living Dead Girl,Living Dead Girl,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sebold, Alice",,,,The Lovely Bones,The Lovely Bones,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",RETURNED TO SHELVES - GRADES 6-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sebold, Alice",,,,Lucky,Lucky,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silvera, Adam",,,,More Happy Than Not,More Happy Than Not,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sparks, Beatrice",,,,Go Ask Alice,Go Ask Alice,Beaufort County School District,South Carolina,yes,October 2022,Committee Reviewing - VOTE 1/19/23,,RETAINED - RESTRICTED,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",returned to shelves 9-12 only - previously 6-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stein, Garth",,,,The Art of Racing in the Rain,The Art of Racing in the Rain,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tamaki, Mariko",,,,This One Summer,This One Summer,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Freedom Writers,,,,The Freedom Writers Diary,The Freedom Writers Diary,Beaufort County School District,South Carolina,yes,October 2022,Committee Reviewing - VOTE 1/19/23,,RETAINED - RESTRICTED,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",RETURNED TO SHELVES - GRADES 6-12 - HAD BEEN k-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vrettos, Adrienne Maria",,,,Skin,Skin,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woodson, Jacqueline",,,,Red at the Bone,Red at the Bone,Beaufort County School District,South Carolina,yes,October 2022,,,Removed from Shelves - While Under Review,"To recap, 97 books were removed from the shelves of libraries and classrooms in the BCSD in October and are to be reviewed for their appropriateness by the committees. The reviews were triggered by the complaints from a group of parents that the books were obscene and inappropriate, though the list of books, submitted by former Beaufort County Councilman and prominent GOP politician Mike Covert, is nearly identical to a list compiled by a political group, Moms For Liberty.LOTS of Articles in files via NEXIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",,,,Gender Queer: A Memoir,Gender Queer,Belton ISD,Texas,yes,August 2022,Lake Belton High School,Belton ISD Webpage,Removed from Shelves - While Under Review,Part of an 18K purchase made when the school opened in 02020,If students requested books - they could get them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, George M.",,,,All Boys Aren't Blue,All Boys Aren't Blue,Belton ISD,Texas,yes,August 2022,Lake Belton High School,Belton ISD Webpage,Removed from Shelves - While Under Review,Part of an 18K purchase made when the school opened in 02020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venable, Colleen A. F.",,,,Kiss Number 8,Kiss Number 8,Belton ISD,Texas,yes,August 2022,Lake Belton High School,Belton ISD Webpage,Removed from Shelves - While Under Review,Part of an 18K purchase made when the school opened in 02020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaur, Rupi",,,,Milk and Honey,Milk and Honey,Belton ISD,Texas,yes,August 2022,Lake Belton High School,Belton ISD Webpage,Removed from Shelves - While Under Review,Part of an 18K purchase made when the school opened in 02020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evison, Jonathan",,,,Lawn Boy,Lawn Boy,Belton ISD,Texas,yes,August 2022,Lake Belton High School,Belton ISD Webpage,Removed from Shelves - While Under Review,Part of an 18K purchase made when the school opened in 02020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rosin, Lindsey",,,,Cherry,Cherry,Belton ISD,Texas,yes,August 2022,Lake Belton High School,Belton ISD Webpage,Removed from Shelves - While Under Review,Part of an 18K purchase made when the school opened in 02020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capiello, Katie",,,,"Now That We're Men: A Play and True Life Accounts of Boys, Sex & Power","Now That We're Men: A Play and True Life Accounts of Boys, Sex & Power",Belton ISD,Texas,yes,August 2022,Lake Belton High School,Belton ISD Webpage,Removed from Shelves - While Under Review,Part of an 18K purchase made when the school opened in 02020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",,,,What Girls Are Made Of,What Girls Are Made Of,Belton ISD,Texas,yes,September 2022,Lake Belton High School,Belton ISD Webpage,Removed from Shelves - While Under Review,Part of an 18K purchase made when the school opened in 02020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Efaw, Amy",,,,After,After,Belton ISD,Texas,yes,September 2022,Lake Belton High School,Belton ISD Webpage,Removed from Shelves - While Under Review,Part of an 18K purchase made when the school opened in 02020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reed, Amy",,,,The Nowhere Girls,The Nowhere Girls,Belton ISD,Texas,yes,October 2022,Lake Belton High School,Belton ISD Webpage,Removed from Shelves - While Under Review,Part of an 18K purchase made when the school opened in 02020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Efaw, Amy",,,,After,After,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niven, Jennifer",,,,All the Bright Places,All the Bright Places,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reynolds, Jason and Brendon Kieley",,,,All American Boys,All American Boys,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kuklin, Susan",,,,Beyond Magenta: Transgender Teens Speak Out,Beyond Magenta: Transgender Teens Speak Out,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huxley, Aldous",,,,Brave New World: A Graphic Novel,Brave New World: A Graphic Novel,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCafferty, Megan",,,,Bumped,Bumped,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rowell, Rainbow",,,,Eleanor & Park,Eleanor & Park,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curato, Mike",,,,Flamer,Flamer,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymous,,,,Go Ask Alice,Go Ask Alice,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sanchez, Erika L.",,,,I am not your perfect mexican daughter,I Am Not Your Perfect Mexican Daughter,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evison, Jonathan",,,,Lawn Boy,Lawn Boy,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, John",,,,Looking for Alaska,Looking for Alaska,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Jesse",,,,Me and Earl and the Dying Girl,Me and Earl and the Dying Girl,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McQuiston, Casey",,,,"Red, White and Royal Blue","Red, White and Royal Blue",Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vonnegut, Kurt",,,,Slaughterhouse-Five,Slaughterhouse-Five Series,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",,,,Speak,Speak,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",,,,The Bluest Eye,The Bluest Eye,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gruwell, Erin",,,,The Freedom Writers Diary,The Freedom Writers Diary,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Angie",,,,The Hate U Give,The Hate U Give,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cisneros, Sandra",,,,The House on Mango Street,The House on Mango Street,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sebold, Alice",,,,The Lovely Bones,The Lovely Bones,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",,,,Twisted,Twisted,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mafi, Tehereh",,,,Unravel Me (Shatter Me Series),Unravel Me Series,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",,,,Wintergirls,Wintergirls,Big Walnut Schools Delaware,Ohio,no,October 2022,,challenged BUT on shelves,Challenged But On Shelves,Two Dozen Books Challenged at Big Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",,,,Gender Queer,Gender Queer,Bow High School,New Hampshire,no,October 2022,Bow High School,Explicit graphic novel to stay put in Bow HIgh School LIbrary,Challenged-Retained,"after he read the book, he found it had value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",,,,House of Earth and Blood,House of Earth and Blood,Brevard Schools,Florida,,October 2022,,Restricted while under review,Removed from Shelves - While Under Review,Students 18 years or old may check out - students under must have parents permisison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",,,,Empire of Storms,Empire of Storms Series,Brevard Schools,Florida,,October 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCormick, Patricia",,,,Sold,Sold,Brevard Schools,Florida,,October 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",,,,A Court of Mist and Fury,A Court of Mist and Fury,Brevard Schools,Florida,,October 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,Tilt,Tilt,Brevard Schools,Florida,,October 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana",,,,What Girls Are Made Of,What Girls Are Made Of,Brevard Schools,Florida,,October 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,Crank,Crank,Brevard Schools,Florida,,October 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopper, Laura",,,,I Never,I Never,Brevard Schools,Florida,,October 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gruen, Sara",,,,Water for Elephants,Water for Elephants,Brevard Schools,Florida,,October 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jackson, Tiffany D.",,,,Monday's Not Coming,Monday's Not Coming,Brevard Schools,Florida,,October 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
